ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;First Lady;;Focus;07/12/2012;L'Etage;Rennes;;;;;;;;;;;;;;;;;France;;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Frànçois & The Atlas Mountains;;Les Trans dans les Prisons;08/12/2012;Centre PÈnitentiaire des Femmes;Rennes;;09/12/2012;Ubu;Rennes;;;;;;;;;;;;;France;;;;Saintes;;;;2005;2006;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Get A Room !;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2009;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Get Your Gun;;Focus EuropÈen;08/12/2012;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;Danemark;;;;;;;;2008;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Goldwave;;Focus;06/12/2012;L'Etage;Rennes;;;;;;;;;;;;;;;;;France;;;;Caen;;;;2008;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Gomina;;TournÈe des Trans;15/11/2012;Ubu;Rennes;TournÈe des Trans;23/11/2012;L'Echonova;Saint-AvÈ;KalÈidoscope;24/11/2012;Ecole de musique Opus 17;Bain de Bretagne;;08/12/2012;L'Etage;Rennes;;;;;France;;;;Caen;;;;2010;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Hola a Todo El Mundo;;Focus EuropÈen;08/12/2012;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;Espagne;;;;Madrid;;;;2006;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Hot Panda;;;08/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;Canada;;;;Vancouver;;;;2006;2008;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;How We Tried;;CrÈation;07/12/2012;OpÈra;Rennes;CrÈation;08/12/2012;OpÈra;Rennes;CrÈation;09/12/2012;OpÈra;Rennes;;;;;;;;;France;;;;;;;;2011;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;J.C. Satan;High On Democracy;;08/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;Italie;;;Bordeaux;Turin;;;2008;2009;;;;;;
